Karthy +Hidden on 2018/6/20 20:16:52
Count 300: 2112
Count 100: 22
Count 50: 0
Count Geki: 244
Count Katu: 7
Count Miss: 0
Total Score: 184581341
Max Combo: 2636
Is fullcombo: False
Mods: Hidden
3409(3): (311.5555,179.1111) None 0
4996(17): (330.6667,264.4445) K2 34.7833312087198
5012(16): (306.2222,278.2222) K2 28.0599057560012
5027(15): (280.8889,277.7778) None 25.3372104942814
5028(1): (280.8889,277.7778) None 0
5046(18): (256,268.8889) None 26.4285725923237
5062(16): (224.4444,245.7778) None 39.1136585523796
5078(16): (207.5556,222.6667) None 28.624364956355
5096(18): (196,199.5556) None 25.8390183550563
5111(15): (189.3333,176) None 24.480836447013
5129(18): (197.3333,136.4444) None 40.3564831329095
5146(17): (218.6667,117.3333) None 28.6417224271288
5161(15): (244,104.4444) None 28.4235771248212
5178(17): (273.7778,102.6667) None 29.8308173109904
5197(19): (317.3333,124) None 48.4994038296347
5212(15): (340.8889,156.4444) None 40.0936889196059
5229(17): (356,198.6667) None 44.8449422583654
5246(17): (356.8889,238.2222) None 39.5654824096511
5263(17): (343.1111,262.6667) None 28.0599357249577
5278(15): (306.2222,276.8889) None 39.5355922504311
5296(18): (279.5555,275.1111) None 26.7258800770998
5312(16): (252.8889,267.1111) None 27.8407637677789
5328(16): (231.1111,252.8889) None 26.0104594842284
5347(19): (207.5556,223.1111) None 37.968129595243
5362(15): (200,201.3333) None 23.0512423933222
5378(16): (200.8889,177.7778) None 23.5722622276486
5396(18): (208.4444,152) None 26.8622518405576
5413(17): (223.5556,131.5556) None 25.4228620733933
5428(15): (251.1111,117.7778) None 30.808005229976
5446(18): (268,116.4444) None 16.941456148875
5463(17): (282.6667,120.4444) None 15.202358629493
5478(15): (293.3333,125.7778) None 11.9256913309881
5497(19): (300.8889,131.1111) None 9.24828311751606
5512(15): (310.6667,149.3333) None 20.6797949727724
5528(16): (315.1111,168.8889) None 20.054289952003
5546(18): (317.7778,185.3333) None 16.6592140094536
5562(16): (316.4445,198.2222) None 12.9576805889127
5578(16): (305.3333,204) None 12.5236261581
5596(18): (292.8889,196.8889) None 14.3328820551147
5612(16): (281.7778,187.5556) None 14.5109142997669
5628(16): (272.8889,180) None 11.6661889681095
5646(18): (264.4445,174.6667) None 9.98758754170458
5662(16): (254.2222,166.2222) None 13.25914242339
5678(16): (241.7778,156.8889) None 15.5554962158203
5697(19): (224.4444,147.5556) None 19.6864765636171
5712(15): (204.4444,139.1111) None 21.709667067024
5728(16): (170.6667,127.1111) None 35.8459573646952
5746(18): (148.4444,118.2222) None 23.9341473509252
5761(15): (127.5556,109.3333) None 22.7014155760076
5778(17): (106.6667,101.7778) None 22.2133225316749
5797(19): (82.22222,92.88889) None 26.010485166054
5812(15): (70.22222,90.66666) None 12.2040294843295
5828(16): (60.88889,89.33334) None 9.42808627983103
5846(18): (56,90.22222) None 4.96903839567011
5862(16): (53.33333,91.11111) None 2.81091722868375
5867(5): (53.77778,90.66666) K1 0.628547752960546
5878(11): (53.33333,91.11111) K1 0.628547752960546
5896(18): (53.77778,91.11111) K1 0.444450378417969
5913(17): (54.22222,91.11111) K1 0.444442749023438
5928(15): (59.11111,94.66666) K1 6.04509485647628
5946(18): (61.33333,96.44444) K1 2.84583464930729
5962(16): (68,99.55556) K1 7.35687064624448
5978(16): (72,101.3333) K1 4.37725498559919
5996(18): (76,103.1111) K1 4.37727977424496
6012(16): (80,104.4444) K1 4.21635895476998
6028(16): (85.77778,106.2222) K1 6.04510579453853
6046(18): (88.44444,106.2222) K1 2.66666412353516
6062(16): (89.77778,106.6667) K1 1.40547791644634
6078(16): (92.44444,106.6667) K1 2.66666412353516
6096(18): (96,107.5556) K1 3.66498730154356
6112(16): (100.8889,108) K1 4.90905686252431
6128(16): (104,108.4444) K1 3.14267834340743
6142(14): (104,108.4444) K1 0
6146(4): (104,108.4444) K1 0
6163(17): (104.4444,108) K1 0.628472225808014
6178(15): (105.7778,107.5556) K1 1.40550928111739
6196(18): (107.5556,106.6667) K1 1.98764251753617
6212(16): (111.1111,106.2222) K1 3.58317414520459
6228(16): (115.5556,105.7778) K1 4.4666657091049
6245(17): (120.4444,105.3333) K1 4.90896016014331
6261(16): (123.1111,104.8889) K1 2.70347732907779
6278(17): (125.7778,104.8889) K1 2.66670227050781
6296(18): (128.4444,104.8889) K1 2.66659545898438
6312(16): (132,104.8889) K1 3.55560302734375
6328(16): (138.2222,104.4444) K1 6.23805559588996
6346(18): (141.3333,104) K1 3.14267834340743
6361(15): (144,103.5556) K1 2.70347732907779
6378(17): (146.6667,103.5556) K1 2.66670227050781
6396(18): (149.3333,103.5556) K1 2.66659545898438
6412(16): (154.2222,104) K1 4.90905686252431
