Rafis +None on 8/20/2017 5:28:19 PM
Count 300: 2102
Count 100: 31
Count 50: 0
Count Geki: 233
Count Katu: 17
Count Miss: 1
Total Score: 165637440
Max Combo: 2555
Is fullcombo: False
Mods: None
20(0): (148.8889,216) None 0
2723(17): (188,133.3333) None 0
2741(18): (188,133.3333) None 0
2756(15): (188,133.3333) None 0
2773(17): (188,133.3333) None 0
2791(18): (188,133.3333) None 0
2806(15): (188,133.3333) None 0
2823(17): (188,133.3333) None 0
2841(18): (188,133.3333) None 0
2856(15): (188,133.3333) None 0
2873(17): (188,133.3333) None 0
2892(19): (188,133.3333) None 0
2906(14): (188,133.3333) None 0
2923(17): (188,133.3333) None 0
2941(18): (188,133.3333) None 0
2956(15): (188,133.3333) None 0
2973(17): (188,133.3333) None 0
2990(17): (188,133.3333) None 0
3006(16): (188,133.3333) None 0
3023(17): (188,133.3333) None 0
3040(17): (188,133.3333) None 0
3056(16): (188,133.3333) None 0
3073(17): (188,133.3333) None 0
3090(17): (188,133.3333) None 0
3107(17): (188,133.3333) None 0
3123(16): (188,133.3333) None 0
3140(17): (188,133.3333) None 0
3156(16): (188,133.3333) None 0
3173(17): (188,133.3333) None 0
3191(18): (188,133.3333) None 0
3206(15): (188,133.3333) None 0
3223(17): (188,133.3333) None 0
3241(18): (188,133.3333) None 0
3255(14): (188,133.3333) None 0
3273(18): (188,133.3333) None 0
3291(18): (188,133.3333) None 0
3305(14): (188,133.3333) None 0
3323(18): (188,133.3333) None 0
3341(18): (188,133.3333) None 0
3355(14): (188,133.3333) None 0
3373(18): (188,133.3333) None 0
3391(18): (188,133.3333) None 0
3405(14): (188,133.3333) None 0
3423(18): (188,133.3333) None 0
3440(17): (188,133.3333) None 0
3455(15): (188,133.3333) None 0
3473(18): (188,133.3333) None 0
3490(17): (188,133.3333) None 0
3505(15): (188,133.3333) None 0
3523(18): (188,133.3333) None 0
3541(18): (188,133.3333) None 0
3555(14): (188,133.3333) None 0
3573(18): (188,133.3333) None 0
3591(18): (188,133.3333) None 0
3605(14): (188,133.3333) None 0
3623(18): (188,133.3333) None 0
3641(18): (188,133.3333) None 0
3655(14): (188,133.3333) None 0
3673(18): (188,133.3333) None 0
3691(18): (188,133.3333) None 0
3705(14): (188,133.3333) None 0
3723(18): (188,133.3333) None 0
3741(18): (188,133.3333) None 0
3756(15): (188,133.3333) None 0
3773(17): (188,133.3333) None 0
3791(18): (188,133.3333) None 0
3806(15): (188,133.3333) None 0
3823(17): (188,133.3333) None 0
3841(18): (188,133.3333) None 0
3856(15): (188,133.3333) None 0
3872(16): (188,133.3333) None 0
3891(19): (188,133.3333) None 0
3906(15): (188,133.3333) None 0
3923(17): (188,133.3333) None 0
3941(18): (188,133.3333) None 0
3956(15): (188,133.3333) None 0
3972(16): (188,133.3333) None 0
3991(19): (188,133.3333) None 0
4006(15): (188,133.3333) None 0
4023(17): (188,133.3333) None 0
4040(17): (188,133.3333) None 0
4056(16): (188,133.3333) None 0
4073(17): (188,133.3333) None 0
4090(17): (188,133.3333) None 0
4106(16): (188,133.3333) None 0
4123(17): (188,133.3333) None 0
4140(17): (188,133.3333) None 0
4158(18): (188,133.3333) None 0
4173(15): (188,133.3333) None 0
4191(18): (188,133.3333) None 0
4206(15): (188,133.3333) None 0
4223(17): (188,133.3333) None 0
4241(18): (188,133.3333) None 0
4256(15): (188,133.3333) None 0
4273(17): (188,133.3333) None 0
4291(18): (188,133.3333) None 0
4305(14): (188,133.3333) None 0
4323(18): (188,133.3333) None 0
4341(18): (188,133.3333) None 0
4356(15): (188,133.3333) None 0
4373(17): (188,133.3333) None 0
4391(18): (188,133.3333) None 0
4405(14): (188,133.3333) None 0
4423(18): (188,133.3333) None 0
4441(18): (188,133.3333) None 0
4456(15): (188,133.3333) None 0
4473(17): (188,133.3333) None 0
4491(18): (188,133.3333) None 0
4505(14): (188,133.3333) None 0
4523(18): (188,133.3333) None 0
4541(18): (188,133.3333) None 0
4555(14): (188,133.3333) None 0
4573(18): (188,133.3333) None 0
4591(18): (188,133.3333) None 0
4605(14): (188,133.3333) None 0
4623(18): (188,133.3333) None 0
4640(17): (188,133.3333) None 0
4656(16): (188,133.3333) None 0
4673(17): (188,133.3333) None 0
4691(18): (188,133.3333) None 0
4706(15): (188,133.3333) None 0
4723(17): (188,133.3333) None 0
4741(18): (188,133.3333) None 0
4755(14): (188,133.3333) None 0
4773(18): (188,133.3333) None 0
4791(18): (188,133.3333) None 0
4805(14): (188,133.3333) None 0
4823(18): (188,133.3333) None 0
4841(18): (188,133.3333) None 0
4854(13): (188,133.3333) None 0
4872(18): (188,133.3333) None 0
4891(19): (188,133.3333) None 0
4904(13): (188,133.3333) None 0
4923(19): (188,133.3333) None 0
4941(18): (188,133.3333) None 0
4956(15): (188,133.3333) None 0
4972(16): (188,133.3333) None 0
4991(19): (188,133.3333) None 0
5005(14): (188,133.3333) None 0
5022(17): (188,133.3333) None 0
5041(19): (188,133.3333) None 0
5055(14): (188,133.3333) None 0
5072(17): (188,133.3333) None 0
5091(19): (188,133.3333) None 0
5105(14): (188,133.3333) None 0
5122(17): (188,133.3333) None 0
5141(19): (188,133.3333) None 0
5154(13): (188,133.3333) None 0
5172(18): (188,133.3333) None 0
5191(19): (188,133.3333) None 0
5204(13): (188,133.3333) None 0
5223(19): (188,133.3333) None 0
5241(18): (188,133.3333) None 0
5254(13): (188,133.3333) None 0
5272(18): (188,133.3333) None 0
5291(19): (188,133.3333) None 0
5305(14): (188,133.3333) None 0
5322(17): (160.8889,205.7778) None 77.3512626316385
5341(19): (157.7778,207.1111) None 3.38476311376218
5342(1): (157.3333,208) M1 0.993845143698738
5355(13): (155.5556,209.3333) M1 2.22213439951675
5372(17): (154.2222,210.6667) M1 1.88571878603417
5373(1): (154.2222,210.6667) None 0
5391(18): (151.5556,206.6667) None 4.80736220206842
5404(13): (152.4444,202.2222) None 4.53250135850081
